FID	U_DN_PPM	POINT_X	POINT_Y
8348	7,2	-78,2008	36,3934
8349	7,6	-78,2008	36,3934
8350	3,3	-77,3062	36,3942
8359	5,7	-78,1661	36,3961
8360	6	-78,1661	36,3961
8363	4,7	-78,147	36,3963
8364	4,9	-78,147	36,3963
8369	3,6	-76,9665	36,3982
8376	1,1	-77,0701	36,399
8377	18	-77,6662	36,3992
8378	7,1	-78,2669	36,3996
8379	7,5	-78,2669	36,3996
8382	2,3	-76,7468	36,3998
8387	10	-78,0298	36,4021
8388	10,5	-78,0298	36,4021
8392	5,6	-78,359	36,403
8393	5,9	-78,359	36,403
8396	24,7	-77,72	36,4033
8401	2	-78,5488	36,4036
8402	2,1	-78,5488	36,4036
8403	5,4	-77,3732	36,4037
8414	1,6	-77,9516	36,4044
8424	4,1	-77,4995	36,4066
8429	40,6	-78,113	36,4073
8430	42,8	-78,113	36,4073
8435	5,9	-77,2887	36,4086
8451	5,1	-77,1382	36,4098
8452	17,5	-78,0763	36,4105
8453	18,4	-78,0763	36,4105
8454	7,7	-77,6199	36,4106
8456	3,1	-76,6	36,411
8457	5,3	-78,232	36,4111
8458	5,6	-78,232	36,4111
8465	3,7	-77,1704	36,4122
8471	2,7	-78,6051	36,4129
8472	2,8	-78,6051	36,4129
8473	3	-76,6488	36,4131
8476	3,4	-77,2487	36,4138
8483	3,7	-77,0521	36,4155
8486	10,3	-77,7695	36,4164
8489	6,5	-78,2064	36,4173
8490	6,9	-78,2064	36,4173
8495	5,9	-78,0172	36,4189
8496	6,2	-78,0172	36,4189
8497	7,6	-77,736	36,4189
8506	3,8	-77,5876	36,42
8509	17,1	-77,8314	36,4209
8510	2,6	-76,8894	36,4209
8513	2,5	-76,7841	36,4222
8516	11,8	-78,0457	36,424
8517	12,4	-78,0457	36,424
8524	4,3	-78,0621	36,425
8525	4,5	-78,0621	36,425
8528	2,4	-78,4591	36,4251
8529	2,5	-78,4591	36,4251
8536	4,3	-77,7329	36,4259
8552	3,5	-76,8471	36,4277
8553	1,8	-78,5145	36,4281
8554	1,9	-78,5145	36,4281
8557	11	-77,7146	36,4286
8566	5,9	-77,4668	36,4301
8569	3,5	-77,5101	36,4312
8570	2,6	-77,3723	36,4316
8575	10	-77,6541	36,4323
8578	2,8	-77,5455	36,4329
8589	1,5	-78,5427	36,4343
8590	1,5	-78,5427	36,4343
8596	4,8	-77,1378	36,4355
8597	10,7	-77,1308	36,4359
8598	2,6	-77,4016	36,4361
8603	3,5	-77,8834	36,4383
8604	25,8	-77,839	36,4387
8609	4,5	-76,8971	36,4403
8617	3,6	-76,5982	36,4412
8621	3,2	-77,0444	36,4417
8622	3,4	-77,1738	36,4418
8631	2,2	-78,4045	36,4432
8632	2,4	-78,4045	36,4432
8637	23,2	-77,7897	36,4436
8638	2,3	-77,2193	36,4444
8641	1,6	-78,6106	36,4449
8642	1,7	-78,6106	36,4449
8648	18,3	-78,0872	36,4461
8649	19,3	-78,0872	36,4461
8650	1,5	-78,5908	36,4467
8651	1,6	-78,5908	36,4467
8666	1,7	-77,2498	36,4495
8669	5,2	-77,5979	36,4508
8674	4	-78,2522	36,4512
8675	4,2	-78,2522	36,4512
8686	2,7	-77,3988	36,4529
8687	7,4	-77,3156	36,453
8688	4,1	-77,9308	36,4535
8689	3,1	-76,7267	36,4538
8692	2,3	-77,972	36,4542
8693	2,1	-77,2062	36,4549
8694	1,6	-78,5083	36,455
8695	1,7	-78,5083	36,455
8704	9,7	-78,4692	36,4574
8705	10,2	-78,4692	36,4574
8712	13,6	-77,7022	36,458
8720	2	-77,5015	36,4591
8721	3	-76,7536	36,4596
8728	2,5	-77,1147	36,4611
8733	3,5	-77,4499	36,4615
8736	3,8	-76,5598	36,4628
8748	3,6	-76,8013	36,4654
8751	14,8	-78,0267	36,4657
8752	15,5	-78,0267	36,4657
8767	3,5	-76,6396	36,468
8768	4,3	-77,1422	36,4681
8774	4,7	-77,8152	36,4698
8781	5,3	-78,1237	36,4712
8782	5,6	-78,1237	36,4712
8789	9,1	-77,9037	36,4727
8803	6,1	-78,2601	36,4768
8804	6,4	-78,2601	36,4768
8805	2,6	-76,7623	36,4769
8808	8,2	-77,1457	36,4771
8825	2,9	-76,9996	36,4806
8828	4,2	-77,0355	36,4809
8838	5,4	-77,6346	36,4819
8839	1,1	-78,5692	36,4825
8840	1,2	-78,5692	36,4825
8843	4,4	-78,4436	36,4832
8844	4,7	-78,4436	36,4832
8845	1,3	-78,5111	36,4838
8846	1,4	-78,5111	36,4838
8847	2,9	-78,215	36,4839
8848	3,1	-78,215	36,4839
8851	3,5	-77,0529	36,4848
8870	1,5	-78,6169	36,4875
8871	1,6	-78,6169	36,4875
8872	3,3	-76,5765	36,4875
8873	3,8	-76,6803	36,4878
8881	7,5	-78,2434	36,4897
8882	7,9	-78,2434	36,4897
8885	6,9	-78,0888	36,4901
8886	7,2	-78,0888	36,4901
8891	4,4	-78,2586	36,4903
8892	4,6	-78,2586	36,4903
8893	7	-77,67	36,4911
8905	3,8	-77,1735	36,4941
8907	8,3	-78,1398	36,4946
8908	8,8	-78,1398	36,4946
8911	1,5	-78,4871	36,4947
8912	1,6	-78,4871	36,4947
8917	8,1	-78,281	36,4952
8918	8,5	-78,281	36,4952
8921	6,9	-77,2616	36,4958
8924	2,4	-77,3102	36,4975
8931	3,5	-76,7831	36,4999
8932	1,4	-78,5899	36,5
8933	1,5	-78,5899	36,5
8934	2,4	-78,293	36,5001
8935	2,6	-78,293	36,5001
8944	7,2	-77,6857	36,5014
8961	3,6	-77,5105	36,5034
8962	4	-76,7488	36,5035
8965	3,9	-78,3121	36,5036
8966	4,1	-78,3121	36,5036
8980	2,6	-76,8795	36,5051
8985	3,3	-77,5488	36,5057
8988	2	-77,4107	36,5067
8989	4,8	-77,052	36,5067
8990	3,5	-77,4586	36,5071
8998	4,1	-77,5434	36,5091
8999	2,5	-77,6326	36,5094
9000	7,1	-78,08	36,5096
9001	7,5	-78,08	36,5096
9004	3,6	-76,6324	36,5104
9009	45,2	-78,0621	36,5113
9010	47,6	-78,0621	36,5113
9011	3,8	-77,6858	36,5113
